ID,VIDEO,ID
1,chao1.mp4,Chào
2,chao2.mp4,Chào
3,chao3.mp4,Chào
4,chao4.MOV,Chào
5,chao5.mp4,Chào
6,chao6.mp4,Chào
7,chao7.mp4,Chào
8,chao8.mp4,Chào
9,chao9.mp4,Chào
10,chao10.mp4,Chào
11,chao11.mp4,Chào
12,chao12.mp4,Chào
13,chao13.mp4,Chào
14,chao14.mp4,Chào
15,chao15.mp4,Chào
16,chao16.mp4,Chào
17,chao17.mp4,Chào
18,chao18.mp4,Chào
19,chao19.mp4,Chào
20,chao20.mp4,Chào
21,tambiet1.mp4,Tạm biệt
22,tambiet2.mp4,Tạm biệt
23,tambiet3.MOV,Tạm biệt
24,tambiet4.mp4,Tạm biệt
25,tambiet5.mp4,Tạm biệt
26,tambiet6.mp4,Tạm biệt
27,tambiet7.mp4,Tạm biệt
28,tambiet8.mp4,Tạm biệt
29,tambiet9.mp4,Tạm biệt
30,tambiet10.mp4,Tạm biệt
31,tambiet11.mp4,Tạm biệt
32,tambiet12.mp4,Tạm biệt
33,tambiet13.mp4,Tạm biệt
34,tambiet14.mp4,Tạm biệt
35,tambiet15.mp4,Tạm biệt
36,tambiet16.mp4,Tạm biệt
,tambiet17.mp4,Tạm biệt
,tambiet18.MOV,Tạm biệt
,tambiet19.MOV,Tạm biệt
,tambiet20.MOV,Tạm biệt
,tambiet21.MOV,Tạm biệt
,,
,camon1.mp4,Cảm ơn
,camon2.mp4,Cảm ơn
,camon3.MOV,Cảm ơn
,camon4.mp4,Cảm ơn
,camon5.mp4,Cảm ơn
,camon6.mp4,Cảm ơn
,camon7.mp4,Cảm ơn
,camon8.mp4,Cảm ơn
,camon9.mp4,Cảm ơn
,camon10.mp4,Cảm ơn
,camon11.mp4,Cảm ơn
,camon12.mp4,Cảm ơn
,camon13.mp4,Cảm ơn
,camon14.mp4,Cảm ơn
,camon15.mp4,Cảm ơn
,camon16.mp4,Cảm ơn
,camon17.mp4,Cảm ơn
,camon18.mp4,Cảm ơn
